HeLa-S3|chr10:102973241-102973389	HeLa-S3|chr10:102974200-102974453
HeLa-S3|chr10:112178812-112182055	HeLa-S3|chr10:112182349-112183318
HeLa-S3|chr10:17155446-17155729	HeLa-S3|chr10:17157400-17157800
HeLa-S3|chr10:17155446-17155729	HeLa-S3|chr10:17157800-17158067
HeLa-S3|chr10:17157400-17157800	HeLa-S3|chr10:17157800-17158067
HeLa-S3|chr10:17157400-17157800	HeLa-S3|chr10:17158413-17158529
HeLa-S3|chr10:17157800-17158067	HeLa-S3|chr10:17158413-17158529
HeLa-S3|chr10:22610600-22610670	HeLa-S3|chr10:22610962-22611600
HeLa-S3|chr10:33249400-33249430	HeLa-S3|chr10:33250430-33252361
HeLa-S3|chr10:33291089-33291200	HeLa-S3|chr10:33291200-33291317
HeLa-S3|chr10:33291089-33291200	HeLa-S3|chr10:33292290-33292576
HeLa-S3|chr10:33291089-33291200	HeLa-S3|chr10:33293204-33293396
HeLa-S3|chr10:33291200-33291317	HeLa-S3|chr10:33292290-33292576
HeLa-S3|chr10:33291200-33291317	HeLa-S3|chr10:33293204-33293396
HeLa-S3|chr10:33291200-33291317	HeLa-S3|chr10:33293496-33293800
HeLa-S3|chr10:33292290-33292576	HeLa-S3|chr10:33293204-33293396
HeLa-S3|chr10:33292290-33292576	HeLa-S3|chr10:33293496-33293800
HeLa-S3|chr10:33293204-33293396	HeLa-S3|chr10:33293496-33293800
HeLa-S3|chr10:33293204-33293396	HeLa-S3|chr10:33295200-33295770
HeLa-S3|chr10:33293496-33293800	HeLa-S3|chr10:33295200-33295770
HeLa-S3|chr10:33295200-33295770	HeLa-S3|chr10:33297538-33297694
HeLa-S3|chr10:33297538-33297694	HeLa-S3|chr10:33297973-33300185
HeLa-S3|chr10:54246554-54247005	HeLa-S3|chr10:54247415-54247507
HeLa-S3|chr10:54246554-54247005	HeLa-S3|chr10:54248471-54248600
HeLa-S3|chr10:54247415-54247507	HeLa-S3|chr10:54248471-54248600
HeLa-S3|chr10:63505189-63505306	HeLa-S3|chr10:63506120-63507200
HeLa-S3|chr10:63505189-63505306	HeLa-S3|chr10:63507200-63507949
HeLa-S3|chr10:63506120-63507200	HeLa-S3|chr10:63507200-63507949
HeLa-S3|chr10:63506120-63507200	HeLa-S3|chr10:63508095-63508752
HeLa-S3|chr10:63507200-63507949	HeLa-S3|chr10:63508095-63508752
HeLa-S3|chr10:63507200-63507949	HeLa-S3|chr10:63508904-63510771
HeLa-S3|chr10:63508095-63508752	HeLa-S3|chr10:63508904-63510771
HeLa-S3|chr10:63508904-63510771	HeLa-S3|chr10:63511019-63512824
HeLa-S3|chr10:63511019-63512824	HeLa-S3|chr10:63513418-63513519
HeLa-S3|chr10:63511019-63512824	HeLa-S3|chr10:63514028-63514707
HeLa-S3|chr10:63513418-63513519	HeLa-S3|chr10:63514028-63514707
HeLa-S3|chr10:63513418-63513519	HeLa-S3|chr10:63515059-63515299
HeLa-S3|chr10:63514028-63514707	HeLa-S3|chr10:63515059-63515299
HeLa-S3|chr10:63514028-63514707	HeLa-S3|chr10:63516334-63516548
HeLa-S3|chr10:63515059-63515299	HeLa-S3|chr10:63516334-63516548
HeLa-S3|chr10:63516334-63516548	HeLa-S3|chr10:63517076-63518608
HeLa-S3|chr10:63517076-63518608	HeLa-S3|chr10:63518899-63519874
HeLa-S3|chr10:63518899-63519874	HeLa-S3|chr10:63520054-63522707
HeLa-S3|chr10:63523646-63523819	HeLa-S3|chr10:63524352-63524548
HeLa-S3|chr10:71185691-71185919	HeLa-S3|chr10:71186117-71186400
HeLa-S3|chr10:72123177-72123200	HeLa-S3|chr10:72123200-72123800
HeLa-S3|chr10:72123177-72123200	HeLa-S3|chr10:72124601-72124775
HeLa-S3|chr10:72123200-72123800	HeLa-S3|chr10:72124601-72124775
HeLa-S3|chr10:73487200-73487600	HeLa-S3|chr10:73487600-73488200
HeLa-S3|chr10:73487200-73487600	HeLa-S3|chr10:73488200-73488573
HeLa-S3|chr10:73487200-73487600	HeLa-S3|chr10:73488667-73489400
HeLa-S3|chr10:73487200-73487600	HeLa-S3|chr10:73489405-73489521
HeLa-S3|chr10:73487600-73488200	HeLa-S3|chr10:73488200-73488573
HeLa-S3|chr10:73487600-73488200	HeLa-S3|chr10:73488667-73489400
HeLa-S3|chr10:73487600-73488200	HeLa-S3|chr10:73489405-73489521
HeLa-S3|chr10:73488200-73488573	HeLa-S3|chr10:73488667-73489400
HeLa-S3|chr10:73488200-73488573	HeLa-S3|chr10:73489405-73489521
HeLa-S3|chr10:73488667-73489400	HeLa-S3|chr10:73489405-73489521
HeLa-S3|chr10:88841969-88842000	HeLa-S3|chr10:88842000-88842400
HeLa-S3|chr10:88841969-88842000	HeLa-S3|chr10:88843800-88844065
HeLa-S3|chr10:88841969-88842000	HeLa-S3|chr10:88844157-88844398
HeLa-S3|chr10:88842000-88842400	HeLa-S3|chr10:88843800-88844065
HeLa-S3|chr10:88842000-88842400	HeLa-S3|chr10:88844157-88844398
HeLa-S3|chr10:88843800-88844065	HeLa-S3|chr10:88844157-88844398
HeLa-S3|chr10:88843800-88844065	HeLa-S3|chr10:88844680-88845085
HeLa-S3|chr10:88844157-88844398	HeLa-S3|chr10:88844680-88845085
HeLa-S3|chr10:93149678-93150000	HeLa-S3|chr10:93150000-93150159
HeLa-S3|chr10:93149678-93150000	HeLa-S3|chr10:93150359-93150461
HeLa-S3|chr10:93150000-93150159	HeLa-S3|chr10:93150359-93150461
HeLa-S3|chr1:109818800-109818858	HeLa-S3|chr1:109819261-109819361
HeLa-S3|chr1:109818800-109818858	HeLa-S3|chr1:109819453-109819586
HeLa-S3|chr1:109818800-109818858	HeLa-S3|chr1:109819789-109820301
HeLa-S3|chr1:109818800-109818858	HeLa-S3|chr1:109820438-109820534
