IMR90|chr10:101736400-101736800	IMR90|chr10:101737000-101737400
IMR90|chr10:104998400-104998800	IMR90|chr10:104998800-104999000
IMR90|chr10:105001200-105001600	IMR90|chr10:105001600-105001800
IMR90|chr10:105475400-105476000	IMR90|chr10:105476000-105476200
IMR90|chr10:105480200-105480400	IMR90|chr10:105480600-105480800
IMR90|chr10:124264000-124264200	IMR90|chr10:124264400-124264600
IMR90|chr10:13343400-13343600	IMR90|chr10:13343600-13343800
IMR90|chr10:134441000-134441200	IMR90|chr10:134441200-134441600
IMR90|chr10:134441000-134441200	IMR90|chr10:134441600-134441800
IMR90|chr10:134441200-134441600	IMR90|chr10:134441600-134441800
IMR90|chr10:134441200-134441600	IMR90|chr10:134441800-134442000
IMR90|chr10:134441600-134441800	IMR90|chr10:134441800-134442000
IMR90|chr10:134446400-134446600	IMR90|chr10:134446800-134447200
IMR90|chr10:31070800-31071200	IMR90|chr10:31071400-31071800
IMR90|chr10:31071400-31071800	IMR90|chr10:31071800-31072200
IMR90|chr10:31417400-31417600	IMR90|chr10:31417600-31417800
IMR90|chr10:31421800-31422000	IMR90|chr10:31422200-31422400
IMR90|chr10:3936200-3936400	IMR90|chr10:3936400-3936800
IMR90|chr10:73028200-73028400	IMR90|chr10:73028400-73028800
IMR90|chr10:73032000-73032400	IMR90|chr10:73032600-73032800
IMR90|chr10:74591400-74591800	IMR90|chr10:74591800-74592000
IMR90|chr10:89298000-89298200	IMR90|chr10:89298200-89298400
IMR90|chr10:89298200-89298400	IMR90|chr10:89298600-89299000
IMR90|chr10:89307400-89307600	IMR90|chr10:89307600-89308000
IMR90|chr10:89307400-89307600	IMR90|chr10:89308000-89308200
IMR90|chr10:89307600-89308000	IMR90|chr10:89308000-89308200
IMR90|chr10:89307600-89308000	IMR90|chr10:89308200-89308400
IMR90|chr10:89308000-89308200	IMR90|chr10:89308200-89308400
IMR90|chr10:94839800-94840000	IMR90|chr10:94840200-94840400
IMR90|chr1:103574600-103574800	IMR90|chr1:103574800-103575000
IMR90|chr1:103574600-103574800	IMR90|chr1:103575000-103575200
IMR90|chr1:103574800-103575000	IMR90|chr1:103575000-103575200
IMR90|chr1:109806000-109806400	IMR90|chr1:109806400-109806600
IMR90|chr1:110185800-110186200	IMR90|chr1:110186200-110186600
IMR90|chr1:110186200-110186600	IMR90|chr1:110186600-110186800
IMR90|chr1:110931600-110932200	IMR90|chr1:110932200-110932400
IMR90|chr1:110934000-110934200	IMR90|chr1:110934400-110934800
IMR90|chr1:110936200-110936800	IMR90|chr1:110936800-110937200
IMR90|chr11:120677800-120678000	IMR90|chr11:120678000-120678200
IMR90|chr11:120677800-120678000	IMR90|chr11:120678200-120678600
IMR90|chr11:120678000-120678200	IMR90|chr11:120678200-120678600
IMR90|chr11:120678000-120678200	IMR90|chr11:120678600-120678800
IMR90|chr11:120678200-120678600	IMR90|chr11:120678600-120678800
IMR90|chr11:124998600-124998800	IMR90|chr11:124998800-124999200
IMR90|chr11:124998800-124999200	IMR90|chr11:124999400-124999600
IMR90|chr11:133910800-133911000	IMR90|chr11:133911200-133911600
IMR90|chr11:133917000-133917200	IMR90|chr11:133917200-133917400
IMR90|chr11:133920200-133920600	IMR90|chr11:133920800-133921000
IMR90|chr11:2722400-2722600	IMR90|chr11:2722600-2722800
IMR90|chr1:153479000-153479200	IMR90|chr1:153479200-153479400
IMR90|chr1:153480400-153480600	IMR90|chr1:153480600-153480800
IMR90|chr1:154929400-154929600	IMR90|chr1:154930000-154930200
IMR90|chr1:155290000-155290200	IMR90|chr1:155290200-155290400
IMR90|chr1:155568400-155568600	IMR90|chr1:155569000-155569200
IMR90|chr11:59340000-59340200	IMR90|chr11:59340400-59340800
IMR90|chr11:59340400-59340800	IMR90|chr11:59340800-59341000
IMR90|chr11:65042200-65042400	IMR90|chr11:65042400-65042600
IMR90|chr11:65042200-65042400	IMR90|chr11:65042600-65042800
IMR90|chr11:65042400-65042600	IMR90|chr11:65042600-65042800
IMR90|chr11:65042400-65042600	IMR90|chr11:65043000-65043200
IMR90|chr11:65042600-65042800	IMR90|chr11:65043000-65043200
IMR90|chr11:65044800-65045000	IMR90|chr11:65045000-65045200
IMR90|chr11:65045800-65046200	IMR90|chr11:65046200-65046400
IMR90|chr11:65047000-65047400	IMR90|chr11:65047600-65047800
IMR90|chr11:65047600-65047800	IMR90|chr11:65047800-65048000
IMR90|chr1:16509000-16509200	IMR90|chr1:16509200-16509400
IMR90|chr1:16514000-16514200	IMR90|chr1:16514200-16514400
IMR90|chr1:165742200-165742400	IMR90|chr1:165742800-165743000
IMR90|chr11:67149800-67150000	IMR90|chr11:67150000-67150200
IMR90|chr11:67152000-67152200	IMR90|chr11:67152200-67152800
IMR90|chr11:67152200-67152800	IMR90|chr11:67152800-67153000
IMR90|chr1:169089600-169089800	IMR90|chr1:169089800-169090000
IMR90|chr11:72142000-72142200	IMR90|chr11:72142200-72142800
IMR90|chr1:178507000-178507200	IMR90|chr1:178507200-178507400
IMR90|chr1:178507000-178507200	IMR90|chr1:178507400-178507600
IMR90|chr1:178507200-178507400	IMR90|chr1:178507400-178507600
IMR90|chr1:180477600-180478000	IMR90|chr1:180478200-180478400
IMR90|chr1:181105400-181105800	IMR90|chr1:181106000-181106200
IMR90|chr1:181110400-181110600	IMR90|chr1:181110600-181111200
IMR90|chr1:182924600-182924800	IMR90|chr1:182925200-182925400
IMR90|chr1:207080200-207080400	IMR90|chr1:207080400-207080600
IMR90|chr1:207080200-207080400	IMR90|chr1:207080600-207080800
IMR90|chr1:207080400-207080600	IMR90|chr1:207080600-207080800
IMR90|chr1:20902000-20902200	IMR90|chr1:20902200-20902400
IMR90|chr12:102176000-102176200	IMR90|chr12:102176200-102176600
IMR90|chr1:221651600-221651800	IMR90|chr1:221651800-221652000
IMR90|chr12:25586000-25586400	IMR90|chr12:25586400-25587000
IMR90|chr12:25586400-25587000	IMR90|chr12:25587000-25587400
IMR90|chr12:25587000-25587400	IMR90|chr12:25587600-25587800
IMR90|chr1:240193400-240193600	IMR90|chr1:240193800-240194200
IMR90|chr1:240855000-240855600	IMR90|chr1:240855600-240855800
IMR90|chr1:245128600-245129000	IMR90|chr1:245129000-245129200
IMR90|chr12:54616000-54616200	IMR90|chr12:54616200-54616400
IMR90|chr12:54616200-54616400	IMR90|chr12:54616800-54617000
IMR90|chr12:56513200-56513800	IMR90|chr12:56513800-56514000
IMR90|chr12:56616600-56616800	IMR90|chr12:56616800-56617000
IMR90|chr12:6152800-6153200	IMR90|chr12:6153400-6153600
IMR90|chr12:6162000-6162400	IMR90|chr12:6162400-6162800
IMR90|chr12:6170600-6171000	IMR90|chr12:6171000-6171400
IMR90|chr12:6178200-6178400	IMR90|chr12:6178400-6178600
IMR90|chr12:6178400-6178600	IMR90|chr12:6178600-6179200
IMR90|chr12:6178600-6179200	IMR90|chr12:6179200-6179600
IMR90|chr12:64216600-64217000	IMR90|chr12:64217000-64217200
IMR90|chr12:64953800-64954000	IMR90|chr12:64954200-64954600
IMR90|chr12:64954200-64954600	IMR90|chr12:64954600-64954800
IMR90|chr12:64954600-64954800	IMR90|chr12:64955200-64955400
IMR90|chr12:64955200-64955400	IMR90|chr12:64955600-64955800
IMR90|chr12:6678000-6678200	IMR90|chr12:6678200-6678400
IMR90|chr12:67828200-67828400	IMR90|chr12:67828400-67828600
IMR90|chr12:67828200-67828400	IMR90|chr12:67828600-67828800
IMR90|chr12:67828400-67828600	IMR90|chr12:67828600-67828800
IMR90|chr12:67828400-67828600	IMR90|chr12:67828800-67829200
IMR90|chr12:67828600-67828800	IMR90|chr12:67828800-67829200
IMR90|chr12:67828600-67828800	IMR90|chr12:67829200-67829400
IMR90|chr12:67828800-67829200	IMR90|chr12:67829200-67829400
IMR90|chr12:68759400-68759600	IMR90|chr12:68759600-68760000
IMR90|chr12:89413000-89413200	IMR90|chr12:89413600-89413800
IMR90|chr12:89863200-89863400	IMR90|chr12:89863400-89863600
IMR90|chr12:92378200-92378600	IMR90|chr12:92378600-92378800
IMR90|chr12:96879000-96879200	IMR90|chr12:96879200-96879400
IMR90|chr1:30181000-30181200	IMR90|chr1:30181200-30181400
IMR90|chr1:30181000-30181200	IMR90|chr1:30181400-30181600
IMR90|chr1:30181000-30181200	IMR90|chr1:30181600-30181800
IMR90|chr1:30181200-30181400	IMR90|chr1:30181400-30181600
IMR90|chr1:30181200-30181400	IMR90|chr1:30181600-30181800
IMR90|chr1:30181400-30181600	IMR90|chr1:30181600-30181800
IMR90|chr1:31274400-31274800	IMR90|chr1:31275000-31275200
IMR90|chr1:31280200-31280400	IMR90|chr1:31280400-31280800
IMR90|chr1:31281000-31281600	IMR90|chr1:31281600-31282000
IMR90|chr1:31281600-31282000	IMR90|chr1:31282200-31282400
