HUVEC|chr10:54248364-54248757	HUVEC|chr10:54248932-54249137
HUVEC|chr10:54250596-54250735	HUVEC|chr10:54250829-54251041
HUVEC|chr10:54250829-54251041	HUVEC|chr10:54251204-54251537
HUVEC|chr10:54326474-54326800	HUVEC|chr10:54326800-54326807
HUVEC|chr1:101759121-101759217	HUVEC|chr1:101759352-101759634
HUVEC|chr11:57416800-57417322	HUVEC|chr11:57417450-57417800
HUVEC|chr11:61160400-61161000	HUVEC|chr11:61161000-61161038
HUVEC|chr11:68873355-68873517	HUVEC|chr11:68873637-68874094
HUVEC|chr11:69515363-69515455	HUVEC|chr11:69515591-69515800
HUVEC|chr11:72897600-72897800	HUVEC|chr11:72897800-72897838
HUVEC|chr1:204096561-204096778	HUVEC|chr1:204096989-204097331
HUVEC|chr12:105814918-105815000	HUVEC|chr12:105815000-105815077
HUVEC|chr12:109197638-109197738	HUVEC|chr12:109197920-109198200
HUVEC|chr1:211499600-211499800	HUVEC|chr1:211500200-211500211
HUVEC|chr1:213935339-213935400	HUVEC|chr1:213935400-213935472
HUVEC|chr1:234634729-234634800	HUVEC|chr1:234634800-234634821
HUVEC|chr12:59450793-59451000	HUVEC|chr12:59451000-59451013
HUVEC|chr1:26362769-26363000	HUVEC|chr1:26363000-26363035
HUVEC|chr12:94495033-94495200	HUVEC|chr12:94495200-94495218
HUVEC|chr12:96880123-96880271	HUVEC|chr12:96880366-96880644
HUVEC|chr13:109609906-109610025	HUVEC|chr13:109610298-109610409
HUVEC|chr13:21276585-21276600	HUVEC|chr13:21276600-21277200
HUVEC|chr13:21278418-21278550	HUVEC|chr13:21278698-21279000
HUVEC|chr13:21278418-21278550	HUVEC|chr13:21279000-21279030
HUVEC|chr13:21278698-21279000	HUVEC|chr13:21279000-21279030
HUVEC|chr1:36886313-36886400	HUVEC|chr1:36886400-36886588
HUVEC|chr13:80624169-80624600	HUVEC|chr13:80624600-80624680
HUVEC|chr14:23030546-23030800	HUVEC|chr14:23030834-23031000
HUVEC|chr14:24804800-24805000	HUVEC|chr14:24805000-24805029
HUVEC|chr14:31825131-31825200	HUVEC|chr14:31825200-31825242
