GM12878|chr10:101469347-101470000	GM12878|chr10:101470000-101470121
GM12878|chr10:103767218-103767381	GM12878|chr10:103767643-103767885
GM12878|chr10:104827245-104827533	GM12878|chr10:104829082-104829200
GM12878|chr10:104827245-104827533	GM12878|chr10:104829200-104829417
GM12878|chr10:104829082-104829200	GM12878|chr10:104829200-104829417
GM12878|chr10:104829082-104829200	GM12878|chr10:104829649-104830860
GM12878|chr10:104829200-104829417	GM12878|chr10:104829649-104830860
GM12878|chr10:104999938-105000147	GM12878|chr10:105000200-105000595
GM12878|chr10:112113849-112114097	GM12878|chr10:112114369-112115200
GM12878|chr10:11718309-11718401	GM12878|chr10:11718974-11719000
GM12878|chr10:11718309-11718401	GM12878|chr10:11719000-11720279
GM12878|chr10:11718309-11718401	GM12878|chr10:11720371-11720800
GM12878|chr10:11718974-11719000	GM12878|chr10:11719000-11720279
GM12878|chr10:11718974-11719000	GM12878|chr10:11720371-11720800
GM12878|chr10:11719000-11720279	GM12878|chr10:11720371-11720800
GM12878|chr10:11719000-11720279	GM12878|chr10:11721288-11721514
GM12878|chr10:11719000-11720279	GM12878|chr10:11721775-11722169
GM12878|chr10:11720371-11720800	GM12878|chr10:11721288-11721514
GM12878|chr10:11720371-11720800	GM12878|chr10:11721775-11722169
GM12878|chr10:11720371-11720800	GM12878|chr10:11722269-11722361
GM12878|chr10:11720371-11720800	GM12878|chr10:11722691-11722921
GM12878|chr10:11721288-11721514	GM12878|chr10:11721775-11722169
GM12878|chr10:11721288-11721514	GM12878|chr10:11722269-11722361
GM12878|chr10:11721288-11721514	GM12878|chr10:11722691-11722921
GM12878|chr10:11721288-11721514	GM12878|chr10:11723156-11723200
GM12878|chr10:11721775-11722169	GM12878|chr10:11722269-11722361
GM12878|chr10:11721775-11722169	GM12878|chr10:11722691-11722921
GM12878|chr10:11721775-11722169	GM12878|chr10:11723156-11723200
GM12878|chr10:11721775-11722169	GM12878|chr10:11723200-11724400
GM12878|chr10:11722269-11722361	GM12878|chr10:11722691-11722921
GM12878|chr10:11722269-11722361	GM12878|chr10:11723156-11723200
GM12878|chr10:11722269-11722361	GM12878|chr10:11723200-11724400
GM12878|chr10:11722691-11722921	GM12878|chr10:11723156-11723200
GM12878|chr10:11722691-11722921	GM12878|chr10:11723200-11724400
GM12878|chr10:11723156-11723200	GM12878|chr10:11723200-11724400
GM12878|chr10:125153600-125154504	GM12878|chr10:125154602-125154870
GM12878|chr10:125153600-125154504	GM12878|chr10:125155800-125155920
GM12878|chr10:125154602-125154870	GM12878|chr10:125155800-125155920
GM12878|chr10:134377200-134377267	GM12878|chr10:134377858-134378000
