K562|chr10:23353600-23353619	K562|chr10:23353738-23353860
K562|chr10:23354295-23354800	K562|chr10:23354800-23354818
K562|chr10:35507708-35507800	K562|chr10:35507800-35507821
K562|chr10:59938707-59938843	K562|chr10:59938945-59939489
K562|chr10:72318175-72318345	K562|chr10:72318437-72318600
K562|chr10:73653253-73653545	K562|chr10:73653645-73653800
K562|chr10:73653645-73653800	K562|chr10:73653993-73654087
K562|chr1:110183155-110183294	K562|chr1:110183388-110183516
K562|chr1:110185838-110186001	K562|chr1:110186154-110186400
K562|chr1:110185838-110186001	K562|chr1:110186400-110186461
K562|chr1:110186154-110186400	K562|chr1:110186400-110186461
K562|chr1:110522800-110522817	K562|chr1:110523171-110523348
K562|chr11:124537154-124537596	K562|chr11:124537751-124538220
K562|chr1:112936600-112936800	K562|chr1:112937000-112937332
K562|chr1:113044391-113044483	K562|chr1:113044657-113045067
K562|chr11:13129905-13130173	K562|chr11:13130265-13130365
K562|chr1:113250400-113250600	K562|chr1:113250600-113250808
K562|chr1:113250600-113250808	K562|chr1:113251102-113251356
K562|chr11:19994799-19995000	K562|chr11:19995000-19995208
K562|chr11:20001381-20001473	K562|chr11:20001581-20001673
K562|chr11:2019126-2019200	K562|chr11:2019200-2019600
K562|chr11:2019126-2019200	K562|chr11:2019600-2019616
K562|chr11:2019200-2019600	K562|chr11:2019600-2019616
K562|chr11:2019600-2019616	K562|chr11:2019868-2020156
K562|chr11:34195475-34195697	K562|chr11:34195797-34195890
K562|chr11:34379198-34379473	K562|chr11:34379621-34379922
K562|chr11:34379621-34379922	K562|chr11:34380162-34380356
K562|chr11:46331174-46331800	K562|chr11:46331800-46331833
K562|chr11:47377145-47377200	K562|chr11:47377200-47377400
K562|chr1:150950860-150951201	K562|chr1:150951413-150951600
K562|chr1:150966527-150967000	K562|chr1:150967000-150967292
K562|chr1:153498285-153498419	K562|chr1:153498538-153498796
K562|chr1:153498538-153498796	K562|chr1:153498800-153499108
K562|chr1:153498800-153499108	K562|chr1:153499208-153499536
K562|chr1:153777850-153778000	K562|chr1:153778000-153778143
K562|chr1:153955073-153955200	K562|chr1:153955200-153955320
K562|chr1:154297000-154297067	K562|chr1:154297159-154297400
K562|chr1:155063655-155063977	K562|chr1:155064230-155064400
K562|chr1:155064230-155064400	K562|chr1:155064400-155064456
K562|chr1:155064230-155064400	K562|chr1:155064766-155064858
K562|chr1:155064400-155064456	K562|chr1:155064766-155064858
K562|chr1:156861808-156862400	K562|chr1:156862400-156862562
K562|chr1:161470457-161470736	K562|chr1:161470833-161470957
K562|chr1:161470833-161470957	K562|chr1:161471180-161471509
K562|chr1:161608147-161608200	K562|chr1:161608200-161608600
K562|chr1:161608147-161608200	K562|chr1:161608600-161608682
K562|chr1:161608200-161608600	K562|chr1:161608600-161608682
K562|chr1:161608600-161608682	K562|chr1:161609109-161609291
K562|chr1:161609109-161609291	K562|chr1:161609611-161609800
K562|chr1:161701182-161701200	K562|chr1:161701200-161701454
K562|chr1:161708409-161708597	K562|chr1:161708848-161709034
K562|chr11:61721572-61721677	K562|chr11:61721857-61721949
K562|chr1:16402357-16402800	K562|chr1:16402800-16402922
K562|chr11:64069000-64069200	K562|chr11:64069200-64069234
K562|chr11:64615943-64616000	K562|chr11:64616000-64616335
K562|chr11:65241705-65242031	K562|chr11:65242127-65242363
K562|chr11:65242127-65242363	K562|chr11:65242469-65242800
K562|chr11:65477787-65477800	K562|chr11:65477800-65478400
K562|chr11:69264800-69265244	K562|chr11:69265346-69265487
K562|chr1:171749170-171749262	K562|chr1:171749392-171749800
K562|chr1:17287057-17287177	K562|chr1:17287467-17287726
K562|chr1:174735514-174735676	K562|chr1:174735877-174736222
K562|chr1:1828268-1828393	K562|chr1:1828624-1828940
K562|chr1:1828624-1828940	K562|chr1:1829092-1829184
K562|chr1:1837564-1837832	K562|chr1:1838022-1838114
K562|chr11:94877511-94877820	K562|chr11:94877948-94878350
K562|chr11:95801593-95801777	K562|chr11:95802055-95802237
K562|chr1:207098200-207098263	K562|chr1:207098744-207098850
K562|chr12:109013766-109013800	K562|chr12:109013800-109014106
K562|chr12:113631659-113631800	K562|chr12:113631800-113632200
K562|chr12:113631659-113631800	K562|chr12:113632200-113632320
K562|chr12:113631800-113632200	K562|chr12:113632200-113632320
K562|chr12:123762834-123763000	K562|chr12:123763000-123763168
K562|chr1:222639400-222639438	K562|chr1:222639568-222639600
K562|chr1:222639400-222639438	K562|chr1:222639600-222639749
K562|chr1:222639568-222639600	K562|chr1:222639600-222639749
K562|chr1:225660987-225661000	K562|chr1:225661000-225661138
K562|chr1:226158308-226158600	K562|chr1:226158600-226158630
K562|chr12:34371126-34371416	K562|chr12:34371665-34371936
K562|chr1:234866074-234866400	K562|chr1:234866400-234866600
K562|chr1:234866400-234866600	K562|chr1:234866735-234866872
K562|chr1:235014989-235015000	K562|chr1:235015000-235015620
K562|chr1:235017785-235018000	K562|chr1:235018000-235018006
K562|chr1:245131632-245131770	K562|chr1:245131862-245132390
K562|chr12:48576814-48577043	K562|chr12:48577281-48577615
K562|chr12:51723062-51723495	K562|chr12:51723624-51723768
K562|chr12:57147256-57147600	K562|chr12:57147600-57147851
K562|chr1:25736607-25737000	K562|chr1:25737000-25737049
K562|chr1:25738544-25738797	K562|chr1:25738915-25739238
K562|chr1:25747988-25748396	K562|chr1:25748617-25748732
K562|chr12:685176-685313	K562|chr12:685471-685909
K562|chr12:688104-688204	K562|chr12:688296-688564
K562|chr12:688296-688564	K562|chr12:688656-688865
K562|chr1:26929832-26930200	K562|chr1:26930200-26930209
K562|chr1:26929832-26930200	K562|chr1:26930310-26930407
K562|chr1:26930200-26930209	K562|chr1:26930310-26930407
K562|chr12:76431230-76431378	K562|chr12:76431496-76431753
K562|chr1:28971927-28972200	K562|chr1:28972200-28972269
K562|chr1:29202583-29203000	K562|chr1:29203000-29203345
K562|chr1:29203000-29203345	K562|chr1:29203437-29203726
K562|chr12:94142479-94142766	K562|chr12:94142858-94143042
K562|chr12:98812208-98812302	K562|chr12:98812589-98812853
K562|chr1:30601612-30601919	K562|chr1:30602000-30602213
K562|chr1:30602000-30602213	K562|chr1:30602389-30602540
K562|chr13:100104925-100105200	K562|chr13:100105200-100105751
K562|chr13:95085449-95085541	K562|chr13:95085641-95085800
K562|chr13:95085641-95085800	K562|chr13:95085800-95086181
K562|chr14:102428898-102429000	K562|chr14:102429000-102429245
K562|chr14:102529429-102529528	K562|chr14:102529721-102529968
K562|chr14:24802267-24802407	K562|chr14:24802722-24802824
K562|chr14:24802722-24802824	K562|chr14:24803131-24803297
K562|chr14:50554285-50554600	K562|chr14:50554600-50554670
K562|chr14:50554285-50554600	K562|chr14:50554762-50554911
K562|chr14:50554600-50554670	K562|chr14:50554762-50554911
K562|chr14:55173902-55174200	K562|chr14:55174200-55174249
K562|chr14:55174200-55174249	K562|chr14:55174543-55174800
K562|chr14:55174543-55174800	K562|chr14:55174800-55175214
K562|chr14:55272411-55272552	K562|chr14:55272879-55273000
K562|chr1:45818869-45819000	K562|chr1:45819000-45819218
K562|chr14:67882860-67883000	K562|chr14:67883000-67883419
K562|chr14:67888149-67888457	K562|chr14:67888631-67888733
K562|chr14:67893737-67893800	K562|chr14:67893800-67893859
K562|chr1:47001855-47001964	K562|chr1:47002262-47002360
K562|chr1:47190794-47190800	K562|chr1:47190800-47190960
K562|chr14:73208659-73208884	K562|chr14:73209034-73209225
K562|chr14:75763000-75763016	K562|chr14:75763108-75763296
K562|chr14:75765432-75765635	K562|chr14:75765763-75765985
K562|chr15:37189167-37189200	K562|chr15:37189200-37189507
K562|chr15:40566763-40566800	K562|chr15:40566800-40566886
K562|chr15:49147742-49148000	K562|chr15:49148000-49148135
K562|chr15:49255825-49256002	K562|chr15:49256094-49256333
K562|chr15:63568019-63568119	K562|chr15:63568211-63568400
K562|chr16:11059816-11059967	K562|chr16:11060059-11060200
K562|chr16:21311719-21311800	K562|chr16:21311800-21311867
K562|chr16:21313882-21314151	K562|chr16:21314297-21314600
K562|chr16:22215976-22216000	K562|chr16:22216000-22216422
K562|chr16:25119200-25119400	K562|chr16:25119400-25119450
K562|chr16:30639961-30640270	K562|chr16:30640421-30640531
K562|chr16:30953002-30953258	K562|chr16:30953350-30953600
K562|chr16:30959536-30959800	K562|chr16:30959800-30960000
K562|chr16:30965000-30965200	K562|chr16:30965264-30965488
K562|chr16:31485338-31485400	K562|chr16:31485400-31485880
K562|chr16:57624600-57624933	K562|chr16:57625149-57625261
K562|chr16:70781922-70782200	K562|chr16:70782200-70782314
K562|chr16:81749003-81749200	K562|chr16:81749200-81749600
K562|chr16:81749003-81749200	K562|chr16:81749600-81749663
K562|chr16:81749200-81749600	K562|chr16:81749600-81749663
K562|chr16:81771898-81772236	K562|chr16:81772419-81772846
K562|chr16:84548367-84548619	K562|chr16:84548720-84548812
K562|chr16:85469770-85470000	K562|chr16:85470000-85470400
K562|chr16:87810569-87810600	K562|chr16:87810600-87810680
K562|chr16:87814087-87814600	K562|chr16:87814600-87814732
